Date,Open,High,Low,Close,Monthly Pct Return
2020-01-31,28638.970703125,29373.619140625,28169.529296875,28256.029296875,-0.9895781327281972
2020-02-29,28319.650390625,29568.5703125,24681.009765625,25409.359375,-10.074557511128535
2020-03-31,25590.509765625,27102.33984375,18213.650390625,21917.16015625,-13.743751533483906
2020-04-30,21227.380859375,24764.76953125,20735.01953125,24345.720703125,11.080635125908223
2020-05-31,24120.779296875,25758.7890625,22789.619140625,25383.109375,4.261071933441851
2020-06-30,25342.990234375,27580.2109375,24843.1796875,25812.880859375,1.6931396308691893
2020-07-31,25879.380859375,27071.330078125,25523.509765625,26428.3203125,2.384233888800824
2020-08-31,26542.3203125,28733.349609375,26534.380859375,28430.05078125,7.5741872547353095
2020-09-30,28439.609375,29199.349609375,26537.009765625,27781.69921875,-2.280514964565583
2020-10-31,27940.630859375,28957.900390625,26143.76953125,26501.599609375,-4.607708114955955
2020-11-30,26691.279296875,30116.509765625,26691.279296875,29638.640625,11.837176102061653
2020-12-31,29797.5,30637.470703125,29599.2890625,30606.48046875,3.265466375450554
2021-01-31,30627.470703125,31272.220703125,29856.30078125,29982.619140625,-2.038330832458757
2021-02-28,30054.73046875,32009.640625,30014.970703125,30932.369140625,3.1676685600596333
2021-03-31,31065.900390625,33259.0,30547.529296875,32981.55078125,6.62471610664217
2021-04-30,33054.578125,34256.75,32985.3515625,33874.8515625,2.7084862903349105
2021-05-31,33904.890625,35091.55859375,33473.80078125,34529.44921875,1.9324000727863
2021-06-30,34584.19140625,34849.3203125,33271.9296875,34502.51171875,-0.07801311810491374
2021-07-31,34507.3203125,35171.51953125,33741.76171875,34935.46875,1.2548565587899407
2021-08-31,34968.55859375,35631.19140625,34690.25,35360.73046875,1.2172778381569493
2021-09-30,35387.55078125,35475.3984375,33613.03125,33843.921875,-4.2895284504670395
2021-10-31,33930.69921875,35892.921875,33785.5390625,35819.55859375,5.837493438398966
2021-11-30,35833.6484375,36565.73046875,34424.44140625,34483.71875,-3.72935875313406
2021-12-31,34678.94140625,36679.44140625,34006.98046875,36338.30078125,5.378138143091071
2022-01-31,36321.58984375,36952.6484375,33150.328125,35131.859375,-3.3200270246882435
2022-02-28,35151.46875,35824.28125,32272.640625,33892.6015625,-3.527447264524408
2022-03-31,33813.48046875,35372.26171875,32578.73046875,34678.3515625,2.318352571876292
2022-04-30,34740.890625,35492.21875,32913.1484375,32977.2109375,-4.905482955076668
2022-05-31,32978.48828125,34117.73828125,30635.759765625,32990.12109375,0.039148720837767215
2022-06-30,33156.30859375,33272.33984375,29653.2890625,30775.4296875,-6.713195747164368
2022-07-31,30737.76953125,32910.1796875,30143.9296875,32845.12890625,6.7251675761025975
2022-08-31,32755.7109375,34281.359375,31509.58984375,31510.4296875,-4.063613884907069
2022-09-30,31454.580078125,32504.0390625,28715.849609375,28725.509765625,-8.838089323103581
2022-10-31,28855.25,32889.80859375,28660.939453125,32732.94921875,13.950803609134166
2022-11-30,32862.7890625,34589.76953125,31727.05078125,34589.76953125,5.672633712566233
2022-12-31,34533.58984375,34712.28125,32573.4296875,33147.25,-4.1703646794950755
